,SNumber,Stamp,ICount,FwStamp,FwPC,FwWrMAC,FwFile,FwPass,BatPC,BatStamp,BatSn,BatPass,RfTxStamp,RfTxPC,RfTxPower,RfTxModul,RfTxCFOD,RfTxPass,PcbStartTime,PcbStopTime,PcbSleepCurr,PcbMaxSleepCurr,PcbMinSleepCurr,PcbBatVolt,PcbMaxBatVolt,PcbMinBatVolt,PcbIrCurr,PcbMaxIrCurr,PcbMinIrCurr,PcbIrPwr,PcbMaxIrPwr,PcbMinIrPwr,PcbWirelessVolt,PcbMaxWirelessVolt,PcbMinWirelessVolt,PcbUsbCurr,PcbMaxUsbCurr,PcbMinUsbCurr,PcbWirelessUsbVolt,PcbMaxWirelessUsbVolt,PcbMinWirelessUsbVolt,PcbLed,PcbMaxLed,PcbMinLed,PcbPass,SemiAssyStartTime,SemiAssyStopTime,SemiAssyBatVolt,SemiAssyMaxBatVolt,SemiAssyMinBatVolt,SemiAssySolarVolt,SemiAssyMaxSolarVolt,SemiAssyMinSolarVolt,SemiAssySolarVoltUsb,SemiAssyMaxSolarVoltUsb,SemiAssyMinSolarVoltUsb,SemiAssyUsbVolt,SemiAssyMaxUsbVolt,SemiAssyMinUsbVolt,SemiAssyUsbCurrent,SemiAssyMaxUsbCurrent,SemiAssyMinUsbCurrent,SemiAssyPass,BatadcPC,BatadcStamp,BatadcLevel,BatadcBtVer,BatadcVoiceTh,BatadcVoiceLvl,BatadcVoiceFreq,BatadcRssiRx,BatadcRssiTx,BatadcOffRaw1,BatadcOffBase1,BatadcOnRaw,BatadcOnBase,BatadcOnDiff,BatadcOffRaw2,BatadcOffBase2,BatadcSar,BatadcPass
9,IDSRBN5901480LSMJNY9CB330,2025-09-13 6:55,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02509E+13,2.02509E+13,3.98,4.2,3.8,0.86,1.5,0.5,,,,,,,,,,O,,,,,,,,,,,,,,,,,,
10,IDSRBN5901480LSMJNY9CB331,2025-09-13 6:55,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02509E+13,2.02509E+13,3.98,4.2,3.8,0,1.5,0.5,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
11,IDSRBN5901480LSMJNY9CB327,2025-09-13 6:55,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02509E+13,2.02509E+13,3.99,4.2,3.8,0.89,1.5,0.5,,,,,,,,,,O,,,,,,,,,,,,,,,,,,
12,IDSRBN5901480LSMJNY9CB326,2025-09-13 6:55,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02509E+13,2.02509E+13,3.98,4.2,3.8,0.9,1.5,0.5,,,,,,,,,,O,,,,,,,,,,,,,,,,,,
13,IDSRBN5901480LSMJNY9CB022,2025-09-13 6:55,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02509E+13,2.02509E+13,1.56,4.2,3.8,0,1.5,0.5,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
14,IDSRBN5901480LSMJNY9CB508,2025-09-13 6:55,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02509E+13,2.02509E+13,3.91,4.2,3.8,0,1.5,0.5,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
15,IDSRBN5901480LSMJNY9CB281,2025-09-13 6:54,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02509E+13,2.02509E+13,3.97,4.2,3.8,0.9,1.5,0.5,,,,,,,,,,O,,,,,,,,,,,,,,,,,,
8351,IDSRBN5901480LSMJNY9C2401,2025-09-12 17:48:26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.222,2025-09-12 17:48:26,100.0,ea540300,0.00136082,-33.1165,1000,-15,-18,8209,8212,8808,7996,638,8014,8016,O,O
8352,IDSRBN5901480LSMJNY9C3169,2025-09-12 17:48:26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.221,2025-09-12 17:48:27,0.0,0000,0.0294551,-30.9785,1000,-19,-14,8171,8173,8667,8013,541,7995,7997,O,X
8353,IDSRBN5901480GSMJNY9C3033,2025-09-12 17:48:26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.47,2025-09-12 17:48:24,90.0,e2500007,0.00156892,-32.1712,1000,-17,-18,8197,8198,8294,7985,369,8136,8111,O,O
8354,IDSRBN5901480LSMJNY9C3171,2025-09-12 17:48:25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.224,2025-09-12 17:48:25,84.0,ea540300,0.00707431,-31.9944,1000,-13,-12,8189,8148,8904,8030,817,8323,8253,O,O
8355,IDSRBN5901480LSMJNY9C2986,2025-09-12 17:48:25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.223,2025-09-12 18:35:21,87.0,ea540300,0.00303561,-31.5871,1000,-21,-16,8440,8150,8846,8031,815,8006,8007,O,O
8356,IDSRBN5901480GSMJNY9C3580,2025-09-12 17:48:06,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.44,2025-09-12 17:48:05,90.0,e2500007,0.00985555,-33.7754,1000,-19,-22,8184,8180,8441,7959,482,8070,8087,O,O
8357,IDSRBN5901480GSMJNY9C3549,2025-09-12 17:48:06,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.45,2025-09-12 17:48:06,84.0,e2500007,0.00633764,-34.4605,1000,-19,-18,8175,8177,8326,8049,308,8266,8049,O,O
8358,IDSRBN5901480LSMJNY9C2616,2025-09-12 17:48:03,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.226,2025-09-12 17:48:03,84.0,ea540300,0.0167645,-34.3589,1000,-19,-14,8176,8171,8354,8028,464,8334,8028,O,O
8359,IDSRBN5901480LSMJNY9C3068,2025-09-12 17:48:01,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.225,2025-09-12 17:48:02,87.0,ea540300,0.0267291,-34.8168,1000,-19,-16,8214,8226,9010,8046,663,8056,8055,O,O
8360,IDSRBN5901480GSMJNY9C3122,2025-09-12 17:47:59,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.47,2025-09-12 17:47:57,84.0,e2500007,0.00271028,-32.3387,1000,-17,-18,8152,8154,8338,7944,407,8328,8095,O,O
8361,IDSRBN5901480GSMJNY9C2372,2025-09-12 17:47:59,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.46,2025-09-12 02:48:00,90.0,e2500007,0.000232811,-34.125,1000,-20,-18,8199,8202,8557,7980,356,8335,8102,O,O
8362,IDSRBN5901480LSMJNY9C3108,2025-09-12 17:47:57,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.223,2025-09-12 18:34:52,87.0,ea540300,0.00189009,-31.3086,1000,-15,-16,8143,8158,9080,8202,569,7991,7993,O,O
8363,IDSRBN5901480LSMJNY9C2983,2025-09-12 17:47:57,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.222,2025-09-12 17:47:57,87.0,ea540300,0.0015079,-33.3674,1000,-19,-16,8212,8221,8781,8042,729,8129,8122,O,O
8364,IDSRBN5901480LSMJNY9C3078,2025-09-12 17:47:56,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.221,2025-09-12 17:47:57,81.0,ea540300,0.00536341,-30.5403,1000,-17,-16,8201,8194,8678,8013,695,8010,8008,O,O
8365,IDSRBN5901480LSMJNY9C3110,2025-09-12 17:47:56,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.224,2025-09-12 17:47:56,81.0,ea540300,0.00387843,-32.0909,1000,-15,-12,8239,8229,8809,8036,598,8206,8036,O,O
8366,IDSRBN5901480GSMJNY9C3435,2025-09-12 17:47:45,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.44,2025-09-12 17:47:43,81.0,e2500007,0.000538398,-33.662,1000,-19,-18,8216,8210,8543,8069,474,8283,8289,O,O
8367,IDSRBN5901480GSMJNY9C3242,2025-09-12 17:47:43,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.43,2025-09-12 17:47:43,90.0,e2500007,0.0045481,-32.2597,1000,-29,-30,8159,8158,8481,8015,303,8210,8195,O,O
8368,IDSRBN5901480LSMJNY9C3010,2025-09-12 17:47:34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.226,2025-09-12 17:47:34,87.0,ea540300,0.000145434,-34.5602,1000,-13,-18,8192,8056,8853,7986,854,7969,7969,O,O
8369,IDSRBN5901480LSMJNY9C3079,2025-09-12 17:47:33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.225,2025-09-12 17:47:33,84.0,ea540300,0.000679056,-34.9385,1000,-15,-14,8152,8166,8766,7996,693,7989,7990,O,O
8370,IDSRBN5901480GSMJNY9C3672,2025-09-12 17:47:33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.44,2025-09-12 17:47:33,90.0,e2500007,0.0136303,-33.5493,1000,-25,-14,8171,8166,8549,7971,255,8114,8109,O,O
8371,IDSRBN5901480GSMJNY9C3258,2025-09-12 17:47:33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.45,2025-09-12 17:47:33,94.0,e2500007,0.00464355,-34.693,1000,-23,-16,8182,8183,8412,7993,419,8248,8123,O,O
8372,IDSRBN5901480GSMJNY9C3172,2025-09-12 17:47:31,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.46,2025-09-12 02:47:31,87.0,e2500007,0.000429266,-33.9446,1000,-17,-18,8197,8197,8521,8057,270,8138,8140,O,O
8373,IDSRBN5901480GSMJNY9C3153,2025-09-12 17:47:28,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.47,2025-09-12 17:47:26,84.0,e2500007,0.00296369,-32.343,1000,-17,-16,8211,8211,8402,8007,384,8140,8149,O,O
8374,IDSRBN5901480LSMJNY9C3170,2025-09-12 17:47:27,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.15.222,2025-09-12 17:47:27,87.0,ea540300,0.00418307,-33.0648,1000,-21,-20,8225,8220,8777,8015,811,8003,8004,O,O
